U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 364500 2.22507e-308 -683.392 0 256000 2.22507e-308 -733.401 -50.009 -0.24607 
-49.5089 0 364500 2.22507e-308 -683.642 0 256000 2.22507e-308 -733.151 -49.5089 -0.24607 
-49.0088 0 364500 2.22507e-308 -683.892 0 256000 2.22507e-308 -732.901 -49.0088 -0.24607 
-48.5087 0 364500 2.22507e-308 -684.142 0 256000 2.22507e-308 -732.651 -48.5087 -0.24607 
-48.0086 0 364500 2.22507e-308 -684.392 0 256000 2.22507e-308 -732.401 -48.0086 -0.24607 
-47.5086 0 364500 2.22507e-308 -684.642 0 256000 2.22507e-308 -732.151 -47.5086 -0.24607 
-47.0085 0 364500 2.22507e-308 -684.892 0 256000 2.22507e-308 -731.901 -47.0085 -0.24607 
-46.5084 0 364500 2.22507e-308 -685.142 0 256000 2.22507e-308 -731.651 -46.5084 -0.24607 
-46.0083 0 364500 2.22507e-308 -685.392 0 256000 2.22507e-308 -731.401 -46.0083 -0.24607 
-45.5082 0 364500 2.22507e-308 -685.642 0 256000 2.22507e-308 -731.151 -45.5082 -0.24607 
-45.0081 0 364500 2.22507e-308 -685.892 0 256000 2.22507e-308 -730.9 -45.0081 -0.24607 
-44.508 0 364500 2.22507e-308 -686.142 0 256000 2.22507e-308 -730.65 -44.508 -0.24607 
-44.0079 0 364500 2.22507e-308 -686.392 0 256000 2.22507e-308 -730.4 -44.0079 -0.24607 
-43.5078 0 364500 2.22507e-308 -686.643 0 256000 2.22507e-308 -730.15 -43.5078 -0.24607 
-43.0077 0 364500 2.22507e-308 -686.893 0 256000 2.22507e-308 -729.9 -43.0077 -0.24607 
-42.5077 0 364500 2.22507e-308 -687.143 0 256000 2.22507e-308 -729.65 -42.5077 -0.24607 
-42.0076 0 364500 2.22507e-308 -687.393 0 256000 2.22507e-308 -729.4 -42.0076 -0.24607 
-41.5075 0 364500 2.22507e-308 -687.643 0 256000 2.22507e-308 -729.15 -41.5075 -0.24607 
-41.0074 0 364500 2.22507e-308 -687.893 0 256000 2.22507e-308 -728.9 -41.0074 -0.24607 
-40.5073 0 364500 2.22507e-308 -688.143 0 256000 2.22507e-308 -728.65 -40.5073 -0.24607 
-40.0072 0 364500 2.22507e-308 -688.393 0 256000 2.22507e-308 -728.4 -40.0072 -0.24607 
-39.5071 0 364500 2.22507e-308 -688.643 0 256000 2.22507e-308 -728.15 -39.5071 -0.24607 
-39.007 0 364500 2.22507e-308 -688.893 0 256000 2.22507e-308 -727.9 -39.007 -0.24607 
-38.5069 0 364500 2.22507e-308 -689.143 0 256000 2.22507e-308 -727.65 -38.5069 -0.24607 
-38.0068 0 364500 2.22507e-308 -689.393 0 256000 2.22507e-308 -727.4 -38.0068 -0.24607 
-37.5068 0 364500 2.22507e-308 -689.643 0 256000 2.22507e-308 -727.15 -37.5068 -0.24607 
-37.0067 0 364500 2.22507e-308 -689.893 0 256000 2.22507e-308 -726.9 -37.0067 -0.24607 
-36.5066 0 364500 2.22507e-308 -690.143 0 256000 2.22507e-308 -726.65 -36.5066 -0.24607 
-36.0065 0 364500 2.22507e-308 -690.393 0 256000 2.22507e-308 -726.4 -36.0065 -0.24607 
-35.5064 0 364500 2.22507e-308 -690.643 0 256000 2.22507e-308 -726.15 -35.5064 -0.24607 
-35.0063 0 364500 2.22507e-308 -690.893 0 256000 2.22507e-308 -725.9 -35.0063 -0.24607 
-34.5062 0 364500 2.22507e-308 -691.143 0 256000 2.22507e-308 -725.65 -34.5062 -0.24607 
-34.0061 0 364500 2.22507e-308 -691.393 0 256000 2.22507e-308 -725.399 -34.0061 -0.24607 
-33.506 0 364500 2.22507e-308 -691.643 0 256000 2.22507e-308 -725.149 -33.506 -0.24607 
-33.0059 0 364500 2.22507e-308 -691.893 0 256000 2.22507e-308 -724.899 -33.0059 -0.24607 
-32.5059 0 364500 2.22507e-308 -692.143 0 256000 2.22507e-308 -724.649 -32.5059 -0.24607 
-32.0058 0 364500 2.22507e-308 -692.394 0 256000 2.22507e-308 -724.399 -32.0058 -0.24607 
-31.5057 0 364500 2.22507e-308 -692.644 0 256000 2.22507e-308 -724.149 -31.5057 -0.24607 
-31.0056 0 364500 2.22507e-308 -692.894 0 256000 2.22507e-308 -723.899 -31.0056 -0.24607 
-30.5055 0 364500 2.22507e-308 -693.144 0 256000 2.22507e-308 -723.649 -30.5055 -0.24607 
-30.0054 0 364500 2.22507e-308 -693.394 0 256000 2.22507e-308 -723.399 -30.0054 -0.24607 
-29.5053 0 364500 2.22507e-308 -693.644 0 256000 2.22507e-308 -723.149 -29.5053 -0.24607 
-29.0052 0 364500 2.22507e-308 -693.894 0 256000 2.22507e-308 -722.899 -29.0052 -0.24607 
-28.5051 0 364500 2.22507e-308 -694.144 0 256000 2.22507e-308 -722.649 -28.5051 -0.24607 
-28.005 0 364500 2.22507e-308 -694.394 0 256000 2.22507e-308 -722.399 -28.005 -0.24607 
-27.505 0 364500 2.22507e-308 -694.644 0 256000 2.22507e-308 -722.149 -27.505 -0.24607 
-27.0049 0 364500 2.22507e-308 -694.894 0 256000 2.22507e-308 -721.899 -27.0049 -0.24607 
-26.5048 0 364500 2.22507e-308 -695.144 0 256000 2.22507e-308 -721.649 -26.5048 -0.24607 
-26.0047 0 364500 2.22507e-308 -695.394 0 256000 2.22507e-308 -721.399 -26.0047 -0.24607 
-25.5046 0 364500 2.22507e-308 -695.644 0 256000 2.22507e-308 -721.149 -25.5046 -0.24607 
-25.0045 0 364500 2.22507e-308 -695.894 0 256000 2.22507e-308 -720.899 -25.0045 -0.24607 
-24.5044 0 364500 2.22507e-308 -696.144 0 256000 2.22507e-308 -720.649 -24.5044 -0.24607 
-24.0043 0 364500 2.22507e-308 -696.394 0 256000 2.22507e-308 -720.399 -24.0043 -0.24607 
-23.5042 0 364500 2.22507e-308 -696.644 0 256000 2.22507e-308 -720.149 -23.5042 -0.24607 
-23.0041 0 364500 2.22507e-308 -696.894 0 256000 2.22507e-308 -719.898 -23.0041 -0.24607 
-22.5041 0 364500 2.22507e-308 -697.144 0 256000 2.22507e-308 -719.648 -22.5041 -0.24607 
-22.004 0 364500 2.22507e-308 -697.394 0 256000 2.22507e-308 -719.398 -22.004 -0.24607 
-21.5039 0 364500 2.22507e-308 -697.644 0 256000 2.22507e-308 -719.148 -21.5039 -0.24607 
-21.0038 0 364500 2.22507e-308 -697.895 0 256000 2.22507e-308 -718.898 -21.0038 -0.24607 
-20.5037 0 364500 2.22507e-308 -698.145 0 256000 2.22507e-308 -718.648 -20.5037 -0.24607 
-20.0036 0 364500 2.22507e-308 -698.395 0 256000 2.22507e-308 -718.398 -20.0036 -0.24607 
-19.5035 0 364500 2.22507e-308 -698.645 0 256000 2.22507e-308 -718.148 -19.5035 -0.24607 
-19.0034 0 364500 2.22507e-308 -698.895 0 256000 2.22507e-308 -717.898 -19.0034 -0.24607 
-18.5033 0 364500 2.22507e-308 -699.145 0 256000 2.22507e-308 -717.648 -18.5033 -0.24607 
-18.0032 0 364500 2.22507e-308 -699.395 0 256000 2.22507e-308 -717.398 -18.0032 -0.24607 
-17.5032 0 364500 2.22507e-308 -699.645 0 256000 2.22507e-308 -717.148 -17.5032 -0.24607 
-17.0031 0 364500 2.22507e-308 -699.895 0 256000 2.22507e-308 -716.898 -17.0031 -0.24607 
-16.503 0 364500 2.22507e-308 -700.145 0 256000 2.22507e-308 -716.648 -16.503 -0.24607 
-16.0029 0 364500 2.22507e-308 -700.395 0 256000 2.22507e-308 -716.398 -16.0029 -0.24607 
-15.5028 0 364500 2.22507e-308 -700.645 0 256000 2.22507e-308 -716.148 -15.5028 -0.24607 
-15.0027 0 364500 2.22507e-308 -700.895 0 256000 2.22507e-308 -715.898 -15.0027 -0.24607 
