U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 171500 2.22507e-308 -683.392 0 256000 2.22507e-308 -733.401 -50.009 2.82039 
-49.5089 0 171500 2.22507e-308 -683.642 0 256000 2.22507e-308 -733.151 -49.5089 2.82039 
-49.0088 0 171500 2.22507e-308 -683.892 0 256000 2.22507e-308 -732.901 -49.0088 2.82039 
-48.5087 0 171500 2.22507e-308 -684.142 0 256000 2.22507e-308 -732.651 -48.5087 2.82039 
-48.0086 0 171500 2.22507e-308 -684.392 0 256000 2.22507e-308 -732.401 -48.0086 2.82039 
-47.5086 0 171500 2.22507e-308 -684.642 0 256000 2.22507e-308 -732.151 -47.5086 2.82039 
-47.0085 0 171500 2.22507e-308 -684.892 0 256000 2.22507e-308 -731.901 -47.0085 2.82039 
-46.5084 0 171500 2.22507e-308 -685.142 0 256000 2.22507e-308 -731.651 -46.5084 2.82039 
-46.0083 0 171500 2.22507e-308 -685.392 0 256000 2.22507e-308 -731.401 -46.0083 2.82039 
-45.5082 0 171500 2.22507e-308 -685.642 0 256000 2.22507e-308 -731.151 -45.5082 2.82039 
-45.0081 0 171500 2.22507e-308 -685.892 0 256000 2.22507e-308 -730.9 -45.0081 2.82039 
-44.508 0 171500 2.22507e-308 -686.142 0 256000 2.22507e-308 -730.65 -44.508 2.82039 
-44.0079 0 171500 2.22507e-308 -686.392 0 256000 2.22507e-308 -730.4 -44.0079 2.82039 
-43.5078 0 171500 2.22507e-308 -686.643 0 256000 2.22507e-308 -730.15 -43.5078 2.82039 
-43.0077 0 171500 2.22507e-308 -686.893 0 256000 2.22507e-308 -729.9 -43.0077 2.82039 
-42.5077 0 171500 2.22507e-308 -687.143 0 256000 2.22507e-308 -729.65 -42.5077 2.82039 
-42.0076 0 171500 2.22507e-308 -687.393 0 256000 2.22507e-308 -729.4 -42.0076 2.82039 
-41.5075 0 171500 2.22507e-308 -687.643 0 256000 2.22507e-308 -729.15 -41.5075 2.82039 
-41.0074 0 171500 2.22507e-308 -687.893 0 256000 2.22507e-308 -728.9 -41.0074 2.82039 
-40.5073 0 171500 2.22507e-308 -688.143 0 256000 2.22507e-308 -728.65 -40.5073 2.82039 
-40.0072 0 171500 2.22507e-308 -688.393 0 256000 2.22507e-308 -728.4 -40.0072 2.82039 
-39.5071 0 171500 2.22507e-308 -688.643 0 256000 2.22507e-308 -728.15 -39.5071 2.82039 
-39.007 0 171500 2.22507e-308 -688.893 0 256000 2.22507e-308 -727.9 -39.007 2.82039 
-38.5069 0 171500 2.22507e-308 -689.143 0 256000 2.22507e-308 -727.65 -38.5069 2.82039 
-38.0068 0 171500 2.22507e-308 -689.393 0 256000 2.22507e-308 -727.4 -38.0068 2.82039 
-37.5068 0 171500 2.22507e-308 -689.643 0 256000 2.22507e-308 -727.15 -37.5068 2.82039 
-37.0067 0 171500 2.22507e-308 -689.893 0 256000 2.22507e-308 -726.9 -37.0067 2.82039 
-36.5066 0 171500 2.22507e-308 -690.143 0 256000 2.22507e-308 -726.65 -36.5066 2.82039 
-36.0065 0 171500 2.22507e-308 -690.393 0 256000 2.22507e-308 -726.4 -36.0065 2.82039 
-35.5064 0 171500 2.22507e-308 -690.643 0 256000 2.22507e-308 -726.15 -35.5064 2.82039 
-35.0063 0 171500 2.22507e-308 -690.893 0 256000 2.22507e-308 -725.9 -35.0063 2.82039 
-34.5062 0 171500 2.22507e-308 -691.143 0 256000 2.22507e-308 -725.65 -34.5062 2.82039 
-34.0061 0 171500 2.22507e-308 -691.393 0 256000 2.22507e-308 -725.399 -34.0061 2.82039 
-33.506 0 171500 2.22507e-308 -691.643 0 256000 2.22507e-308 -725.149 -33.506 2.82039 
-33.0059 0 171500 2.22507e-308 -691.893 0 256000 2.22507e-308 -724.899 -33.0059 2.82039 
-32.5059 0 171500 2.22507e-308 -692.143 0 256000 2.22507e-308 -724.649 -32.5059 2.82039 
-32.0058 0 171500 2.22507e-308 -692.394 0 256000 2.22507e-308 -724.399 -32.0058 2.82039 
-31.5057 0 171500 2.22507e-308 -692.644 0 256000 2.22507e-308 -724.149 -31.5057 2.82039 
-31.0056 0 171500 2.22507e-308 -692.894 0 256000 2.22507e-308 -723.899 -31.0056 2.82039 
-30.5055 0 171500 2.22507e-308 -693.144 0 256000 2.22507e-308 -723.649 -30.5055 2.82039 
-30.0054 0 171500 2.22507e-308 -693.394 0 256000 2.22507e-308 -723.399 -30.0054 2.82039 
-29.5053 0 171500 2.22507e-308 -693.644 0 256000 2.22507e-308 -723.149 -29.5053 2.82039 
-29.0052 0 171500 2.22507e-308 -693.894 0 256000 2.22507e-308 -722.899 -29.0052 2.82039 
-28.5051 0 171500 2.22507e-308 -694.144 0 256000 2.22507e-308 -722.649 -28.5051 2.82039 
-28.005 0 171500 2.22507e-308 -694.394 0 256000 2.22507e-308 -722.399 -28.005 2.82039 
-27.505 0 171500 2.22507e-308 -694.644 0 256000 2.22507e-308 -722.149 -27.505 2.82039 
-27.0049 0 171500 2.22507e-308 -694.894 0 256000 2.22507e-308 -721.899 -27.0049 2.82039 
-26.5048 0 171500 2.22507e-308 -695.144 0 256000 2.22507e-308 -721.649 -26.5048 2.82039 
-26.0047 0 171500 2.22507e-308 -695.394 0 256000 2.22507e-308 -721.399 -26.0047 2.82039 
-25.5046 0 171500 2.22507e-308 -695.644 0 256000 2.22507e-308 -721.149 -25.5046 2.82039 
-25.0045 0 171500 2.22507e-308 -695.894 0 256000 2.22507e-308 -720.899 -25.0045 2.82039 
-24.5044 0 171500 2.22507e-308 -696.144 0 256000 2.22507e-308 -720.649 -24.5044 2.82039 
-24.0043 0 171500 2.22507e-308 -696.394 0 256000 2.22507e-308 -720.399 -24.0043 2.82039 
-23.5042 0 171500 2.22507e-308 -696.644 0 256000 2.22507e-308 -720.149 -23.5042 2.82039 
-23.0041 0 171500 2.22507e-308 -696.894 0 256000 2.22507e-308 -719.898 -23.0041 2.82039 
-22.5041 0 171500 2.22507e-308 -697.144 0 256000 2.22507e-308 -719.648 -22.5041 2.82039 
-22.004 0 171500 2.22507e-308 -697.394 0 256000 2.22507e-308 -719.398 -22.004 2.82039 
-21.5039 0 171500 2.22507e-308 -697.644 0 256000 2.22507e-308 -719.148 -21.5039 2.82039 
-21.0038 0 171500 2.22507e-308 -697.895 0 256000 2.22507e-308 -718.898 -21.0038 2.82039 
-20.5037 0 171500 2.22507e-308 -698.145 0 256000 2.22507e-308 -718.648 -20.5037 2.82039 
-20.0036 0 171500 2.22507e-308 -698.395 0 256000 2.22507e-308 -718.398 -20.0036 2.82039 
-19.5035 0 171500 2.22507e-308 -698.645 0 256000 2.22507e-308 -718.148 -19.5035 2.82039 
-19.0034 0 171500 2.22507e-308 -698.895 0 256000 2.22507e-308 -717.898 -19.0034 2.82039 
-18.5033 0 171500 2.22507e-308 -699.145 0 256000 2.22507e-308 -717.648 -18.5033 2.82039 
-18.0032 0 171500 2.22507e-308 -699.395 0 256000 2.22507e-308 -717.398 -18.0032 2.82039 
-17.5032 0 171500 2.22507e-308 -699.645 0 256000 2.22507e-308 -717.148 -17.5032 2.82039 
-17.0031 0 171500 2.22507e-308 -699.895 0 256000 2.22507e-308 -716.898 -17.0031 2.82039 
-16.503 0 171500 2.22507e-308 -700.145 0 256000 2.22507e-308 -716.648 -16.503 2.82039 
-16.0029 0 171500 2.22507e-308 -700.395 0 256000 2.22507e-308 -716.398 -16.0029 2.82039 
-15.5028 0 171500 2.22507e-308 -700.645 0 256000 2.22507e-308 -716.148 -15.5028 2.82039 
-15.0027 0 171500 2.22507e-308 -700.895 0 256000 2.22507e-308 -715.898 -15.0027 2.82039 
-14.5026 0 171500 2.22507e-308 -701.145 0 256000 2.22507e-308 -715.648 -14.5026 2.82039 
-14.0025 0 171500 2.22507e-308 -701.395 0 256000 2.22507e-308 -715.398 -14.0025 2.82039 
-13.5024 0 171500 2.22507e-308 -701.645 0 256000 2.22507e-308 -715.148 -13.5024 2.82039 
-13.0023 0 171500 2.22507e-308 -701.895 0 256000 2.22507e-308 -714.898 -13.0023 2.82039 
-12.5023 0 171500 2.22507e-308 -702.145 0 256000 2.22507e-308 -714.648 -12.5023 2.82039 
-12.0022 0 171500 2.22507e-308 -702.395 0 256000 2.22507e-308 -714.397 -12.0022 2.82039 
-11.5021 0 171500 2.22507e-308 -702.645 0 256000 2.22507e-308 -714.147 -11.5021 2.82039 
-11.002 0 171500 2.22507e-308 -702.895 0 256000 2.22507e-308 -713.897 -11.002 2.82039 
-10.5019 0 171500 2.22507e-308 -703.145 0 256000 2.22507e-308 -713.647 -10.5019 2.82039 
-10.0018 0 171500 2.22507e-308 -703.396 0 256000 2.22507e-308 -713.397 -10.0018 2.82039 
-9.50171 0 171500 2.22507e-308 -703.646 0 256000 2.22507e-308 -713.147 -9.50171 2.82039 
-9.00162 0 171500 2.22507e-308 -703.896 0 256000 2.22507e-308 -712.897 -9.00162 2.82039 
-8.50153 0 171500 2.22507e-308 -704.146 0 256000 2.22507e-308 -712.647 -8.50153 2.82039 
-8.00144 0 171500 2.22507e-308 -704.396 0 256000 2.22507e-308 -712.397 -8.00144 2.82039 
-7.50135 0 171500 2.22507e-308 -704.646 0 256000 2.22507e-308 -712.147 -7.50135 2.82039 
-7.00126 0 171500 2.22507e-308 -704.896 56 256000 0.00021875 -11.9282 692.968 2.82039 
-6.50117 0 171500 2.22507e-308 -705.146 1865 256000 0.00728516 -8.1725 696.973 2.82039 
-6.00108 1 171500 5.8309e-06 -9.0518 14775 256000 0.0577148 -5.85278 3.19902 2.82039 
-5.50099 8 171500 4.66472e-05 -7.2224 41444 256000 0.161891 -4.57133 2.65107 2.82039 
-5.0009 17 171500 9.91254e-05 -6.71868 54259 256000 0.211949 -4.05186 2.66682 2.82039 
-4.50081 22 171500 0.00012828 -6.71089 46169 256000 0.180348 -3.96327 2.74762 2.82039 
-4.00072 21 171500 0.000122449 -7.00746 33102 256000 0.129305 -4.04594 2.96151 2.82039 
-3.50063 17 171500 9.91254e-05 -7.46881 22513 256000 0.0879414 -4.1814 3.28741 2.82039 
-3.00054 31 171500 0.000180758 -7.11808 14876 256000 0.0581094 -4.3457 2.77238 2.82039 
-2.50045 40 171500 0.000233236 -7.11323 9821 256000 0.0383633 -4.51088 2.60235 2.82039 
-2.00036 31 171500 0.000180758 -7.61817 6345 256000 0.0247852 -4.69769 2.92048 2.82039 
-1.50027 42 171500 0.000244898 -7.56453 3980 256000 0.0155469 -4.91403 2.6505 2.82039 
-1.00018 47 171500 0.000274052 -7.7021 2552 256000 0.00996875 -5.10839 2.59371 2.82039 
-0.50009 36 171500 0.000209913 -8.21877 1564 256000 0.00610938 -5.34798 2.8708 2.82039 
0 59 171500 0.000344023 -7.9748 1031 256000 0.00402734 -5.51465 2.46015 2.82039 
0.50009 45 171500 0.000262391 -8.49572 597 256000 0.00233203 -5.81097 2.68475 2.82039 
1.00018 38 171500 0.000221574 -8.91484 402 256000 0.00157031 -5.95639 2.95845 2.82039 
1.50027 23 171500 0.000134111 -9.66698 260 256000 0.00101563 -6.14212 3.52486 2.82039 
2.00036 45 171500 0.000262391 -9.24586 145 256000 0.000566406 -6.47602 2.76984 2.82039 
2.50045 64 171500 0.000373178 -9.14368 97 256000 0.000378906 -6.628 2.51568 2.82039 
