U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 108000 2.22507e-308 -683.392 0 256000 2.22507e-308 -733.401 -50.009 43.4543 
-49.5089 0 108000 2.22507e-308 -683.642 0 256000 2.22507e-308 -733.151 -49.5089 43.4543 
-49.0088 0 108000 2.22507e-308 -683.892 0 256000 2.22507e-308 -732.901 -49.0088 43.4543 
-48.5087 0 108000 2.22507e-308 -684.142 0 256000 2.22507e-308 -732.651 -48.5087 43.4543 
-48.0086 0 108000 2.22507e-308 -684.392 0 256000 2.22507e-308 -732.401 -48.0086 43.4543 
-47.5086 0 108000 2.22507e-308 -684.642 0 256000 2.22507e-308 -732.151 -47.5086 43.4543 
-47.0085 0 108000 2.22507e-308 -684.892 0 256000 2.22507e-308 -731.901 -47.0085 43.4543 
-46.5084 0 108000 2.22507e-308 -685.142 0 256000 2.22507e-308 -731.651 -46.5084 43.4543 
-46.0083 0 108000 2.22507e-308 -685.392 0 256000 2.22507e-308 -731.401 -46.0083 43.4543 
-45.5082 0 108000 2.22507e-308 -685.642 0 256000 2.22507e-308 -731.151 -45.5082 43.4543 
-45.0081 0 108000 2.22507e-308 -685.892 0 256000 2.22507e-308 -730.9 -45.0081 43.4543 
-44.508 0 108000 2.22507e-308 -686.142 0 256000 2.22507e-308 -730.65 -44.508 43.4543 
-44.0079 0 108000 2.22507e-308 -686.392 0 256000 2.22507e-308 -730.4 -44.0079 43.4543 
-43.5078 0 108000 2.22507e-308 -686.643 0 256000 2.22507e-308 -730.15 -43.5078 43.4543 
-43.0077 0 108000 2.22507e-308 -686.893 0 256000 2.22507e-308 -729.9 -43.0077 43.4543 
-42.5077 0 108000 2.22507e-308 -687.143 0 256000 2.22507e-308 -729.65 -42.5077 43.4543 
-42.0076 0 108000 2.22507e-308 -687.393 0 256000 2.22507e-308 -729.4 -42.0076 43.4543 
-41.5075 0 108000 2.22507e-308 -687.643 0 256000 2.22507e-308 -729.15 -41.5075 43.4543 
-41.0074 0 108000 2.22507e-308 -687.893 0 256000 2.22507e-308 -728.9 -41.0074 43.4543 
-40.5073 0 108000 2.22507e-308 -688.143 0 256000 2.22507e-308 -728.65 -40.5073 43.4543 
-40.0072 0 108000 2.22507e-308 -688.393 0 256000 2.22507e-308 -728.4 -40.0072 43.4543 
-39.5071 0 108000 2.22507e-308 -688.643 0 256000 2.22507e-308 -728.15 -39.5071 43.4543 
-39.007 0 108000 2.22507e-308 -688.893 0 256000 2.22507e-308 -727.9 -39.007 43.4543 
-38.5069 0 108000 2.22507e-308 -689.143 0 256000 2.22507e-308 -727.65 -38.5069 43.4543 
-38.0068 0 108000 2.22507e-308 -689.393 0 256000 2.22507e-308 -727.4 -38.0068 43.4543 
-37.5068 0 108000 2.22507e-308 -689.643 0 256000 2.22507e-308 -727.15 -37.5068 43.4543 
-37.0067 0 108000 2.22507e-308 -689.893 0 256000 2.22507e-308 -726.9 -37.0067 43.4543 
-36.5066 0 108000 2.22507e-308 -690.143 0 256000 2.22507e-308 -726.65 -36.5066 43.4543 
-36.0065 0 108000 2.22507e-308 -690.393 0 256000 2.22507e-308 -726.4 -36.0065 43.4543 
-35.5064 0 108000 2.22507e-308 -690.643 0 256000 2.22507e-308 -726.15 -35.5064 43.4543 
-35.0063 0 108000 2.22507e-308 -690.893 0 256000 2.22507e-308 -725.9 -35.0063 43.4543 
-34.5062 0 108000 2.22507e-308 -691.143 0 256000 2.22507e-308 -725.65 -34.5062 43.4543 
-34.0061 0 108000 2.22507e-308 -691.393 0 256000 2.22507e-308 -725.399 -34.0061 43.4543 
-33.506 0 108000 2.22507e-308 -691.643 0 256000 2.22507e-308 -725.149 -33.506 43.4543 
-33.0059 0 108000 2.22507e-308 -691.893 0 256000 2.22507e-308 -724.899 -33.0059 43.4543 
-32.5059 0 108000 2.22507e-308 -692.143 0 256000 2.22507e-308 -724.649 -32.5059 43.4543 
-32.0058 0 108000 2.22507e-308 -692.394 0 256000 2.22507e-308 -724.399 -32.0058 43.4543 
-31.5057 0 108000 2.22507e-308 -692.644 0 256000 2.22507e-308 -724.149 -31.5057 43.4543 
-31.0056 0 108000 2.22507e-308 -692.894 0 256000 2.22507e-308 -723.899 -31.0056 43.4543 
-30.5055 0 108000 2.22507e-308 -693.144 0 256000 2.22507e-308 -723.649 -30.5055 43.4543 
-30.0054 0 108000 2.22507e-308 -693.394 0 256000 2.22507e-308 -723.399 -30.0054 43.4543 
-29.5053 0 108000 2.22507e-308 -693.644 0 256000 2.22507e-308 -723.149 -29.5053 43.4543 
-29.0052 0 108000 2.22507e-308 -693.894 0 256000 2.22507e-308 -722.899 -29.0052 43.4543 
-28.5051 0 108000 2.22507e-308 -694.144 0 256000 2.22507e-308 -722.649 -28.5051 43.4543 
-28.005 0 108000 2.22507e-308 -694.394 0 256000 2.22507e-308 -722.399 -28.005 43.4543 
-27.505 0 108000 2.22507e-308 -694.644 0 256000 2.22507e-308 -722.149 -27.505 43.4543 
-27.0049 0 108000 2.22507e-308 -694.894 0 256000 2.22507e-308 -721.899 -27.0049 43.4543 
-26.5048 0 108000 2.22507e-308 -695.144 0 256000 2.22507e-308 -721.649 -26.5048 43.4543 
-26.0047 0 108000 2.22507e-308 -695.394 0 256000 2.22507e-308 -721.399 -26.0047 43.4543 
-25.5046 0 108000 2.22507e-308 -695.644 0 256000 2.22507e-308 -721.149 -25.5046 43.4543 
-25.0045 0 108000 2.22507e-308 -695.894 0 256000 2.22507e-308 -720.899 -25.0045 43.4543 
-24.5044 0 108000 2.22507e-308 -696.144 0 256000 2.22507e-308 -720.649 -24.5044 43.4543 
-24.0043 0 108000 2.22507e-308 -696.394 0 256000 2.22507e-308 -720.399 -24.0043 43.4543 
-23.5042 0 108000 2.22507e-308 -696.644 0 256000 2.22507e-308 -720.149 -23.5042 43.4543 
-23.0041 0 108000 2.22507e-308 -696.894 0 256000 2.22507e-308 -719.898 -23.0041 43.4543 
-22.5041 0 108000 2.22507e-308 -697.144 0 256000 2.22507e-308 -719.648 -22.5041 43.4543 
-22.004 0 108000 2.22507e-308 -697.394 0 256000 2.22507e-308 -719.398 -22.004 43.4543 
-21.5039 0 108000 2.22507e-308 -697.644 0 256000 2.22507e-308 -719.148 -21.5039 43.4543 
-21.0038 0 108000 2.22507e-308 -697.895 0 256000 2.22507e-308 -718.898 -21.0038 43.4543 
-20.5037 0 108000 2.22507e-308 -698.145 0 256000 2.22507e-308 -718.648 -20.5037 43.4543 
-20.0036 0 108000 2.22507e-308 -698.395 0 256000 2.22507e-308 -718.398 -20.0036 43.4543 
-19.5035 0 108000 2.22507e-308 -698.645 0 256000 2.22507e-308 -718.148 -19.5035 43.4543 
-19.0034 0 108000 2.22507e-308 -698.895 0 256000 2.22507e-308 -717.898 -19.0034 43.4543 
-18.5033 0 108000 2.22507e-308 -699.145 0 256000 2.22507e-308 -717.648 -18.5033 43.4543 
-18.0032 0 108000 2.22507e-308 -699.395 0 256000 2.22507e-308 -717.398 -18.0032 43.4543 
-17.5032 0 108000 2.22507e-308 -699.645 0 256000 2.22507e-308 -717.148 -17.5032 43.4543 
-17.0031 0 108000 2.22507e-308 -699.895 0 256000 2.22507e-308 -716.898 -17.0031 43.4543 
-16.503 0 108000 2.22507e-308 -700.145 0 256000 2.22507e-308 -716.648 -16.503 43.4543 
-16.0029 0 108000 2.22507e-308 -700.395 0 256000 2.22507e-308 -716.398 -16.0029 43.4543 
-15.5028 0 108000 2.22507e-308 -700.645 0 256000 2.22507e-308 -716.148 -15.5028 43.4543 
-15.0027 0 108000 2.22507e-308 -700.895 0 256000 2.22507e-308 -715.898 -15.0027 43.4543 
-14.5026 0 108000 2.22507e-308 -701.145 0 256000 2.22507e-308 -715.648 -14.5026 43.4543 
-14.0025 0 108000 2.22507e-308 -701.395 0 256000 2.22507e-308 -715.398 -14.0025 43.4543 
-13.5024 0 108000 2.22507e-308 -701.645 0 256000 2.22507e-308 -715.148 -13.5024 43.4543 
-13.0023 0 108000 2.22507e-308 -701.895 0 256000 2.22507e-308 -714.898 -13.0023 43.4543 
-12.5023 0 108000 2.22507e-308 -702.145 0 256000 2.22507e-308 -714.648 -12.5023 43.4543 
-12.0022 0 108000 2.22507e-308 -702.395 0 256000 2.22507e-308 -714.397 -12.0022 43.4543 
-11.5021 0 108000 2.22507e-308 -702.645 0 256000 2.22507e-308 -714.147 -11.5021 43.4543 
-11.002 0 108000 2.22507e-308 -702.895 0 256000 2.22507e-308 -713.897 -11.002 43.4543 
-10.5019 0 108000 2.22507e-308 -703.145 0 256000 2.22507e-308 -713.647 -10.5019 43.4543 
-10.0018 0 108000 2.22507e-308 -703.396 0 256000 2.22507e-308 -713.397 -10.0018 43.4543 
-9.50171 0 108000 2.22507e-308 -703.646 0 256000 2.22507e-308 -713.147 -9.50171 43.4543 
-9.00162 0 108000 2.22507e-308 -703.896 7 256000 2.73438e-05 -15.0078 688.888 43.4543 
-8.50153 0 108000 2.22507e-308 -704.146 100 256000 0.000390625 -12.0985 692.047 43.4543 
-8.00144 0 108000 2.22507e-308 -704.396 768 256000 0.003 -9.80986 694.586 43.4543 
-7.50135 0 108000 2.22507e-308 -704.646 2672 256000 0.0104375 -8.31303 696.333 43.4543 
-7.00126 0 108000 2.22507e-308 -704.896 5720 256000 0.0223437 -7.30184 697.594 43.4543 
-6.50117 0 108000 2.22507e-308 -705.146 9697 256000 0.0378789 -6.52395 698.622 43.4543 
-6.00108 0 108000 2.22507e-308 -705.396 14059 256000 0.054918 -5.90245 699.493 43.4543 
-5.50099 0 108000 2.22507e-308 -705.646 18063 256000 0.0705586 -5.40181 700.244 43.4543 
-5.0009 0 108000 2.22507e-308 -705.896 20993 256000 0.0820039 -5.00144 700.895 43.4543 
-4.50081 0 108000 2.22507e-308 -706.146 22714 256000 0.0887266 -4.6726 701.473 43.4543 
-4.00072 0 108000 2.22507e-308 -706.396 22661 256000 0.0885195 -4.42489 701.971 43.4543 
-3.50063 0 108000 2.22507e-308 -706.646 21960 256000 0.0857813 -4.20627 702.44 43.4543 
-3.00054 0 108000 2.22507e-308 -706.896 20114 256000 0.0785703 -4.04403 702.852 43.4543 
-2.50045 0 108000 2.22507e-308 -707.146 18176 256000 0.071 -3.8953 703.251 43.4543 
-2.00036 0 108000 2.22507e-308 -707.396 15692 256000 0.0612969 -3.79221 703.604 43.4543 
-1.50027 0 108000 2.22507e-308 -707.646 13250 256000 0.0517578 -3.71131 703.935 43.4543 
-1.00018 0 108000 2.22507e-308 -707.896 11012 256000 0.0430156 -3.64628 704.25 43.4543 
-0.50009 0 108000 2.22507e-308 -708.146 8717 256000 0.0340508 -3.62995 704.516 43.4543 
0 0 108000 2.22507e-308 -708.396 7095 256000 0.0277148 -3.58579 704.811 43.4543 
0.50009 0 108000 2.22507e-308 -708.646 5562 256000 0.0217266 -3.57917 705.067 43.4543 
1.00018 0 108000 2.22507e-308 -708.897 4329 256000 0.0169102 -3.57975 705.317 43.4543 
1.50027 0 108000 2.22507e-308 -709.147 3326 256000 0.0129922 -3.59327 705.553 43.4543 
2.00036 0 108000 2.22507e-308 -709.397 2470 256000 0.00964844 -3.64078 705.756 43.4543 
2.50045 0 108000 2.22507e-308 -709.647 1841 256000 0.00719141 -3.68464 705.962 43.4543 
3.00054 0 108000 2.22507e-308 -709.897 1415 256000 0.00552734 -3.69778 706.199 43.4543 
3.50063 0 108000 2.22507e-308 -710.147 967 256000 0.00377734 -3.82842 706.318 43.4543 
4.00072 0 108000 2.22507e-308 -710.397 769 256000 0.00300391 -3.80748 706.589 43.4543 
4.50081 0 108000 2.22507e-308 -710.647 547 256000 0.00213672 -3.89808 706.749 43.4543 
5.0009 0 108000 2.22507e-308 -710.897 373 256000 0.00145703 -4.0309 706.866 43.4543 
5.50099 0 108000 2.22507e-308 -711.147 268 256000 0.00104688 -4.11145 707.035 43.4543 
6.00108 0 108000 2.22507e-308 -711.397 195 256000 0.000761719 -4.17939 707.218 43.4543 
6.50117 0 108000 2.22507e-308 -711.647 143 256000 0.000558594 -4.2395 707.408 43.4543 
7.00126 0 108000 2.22507e-308 -711.897 102 256000 0.000398437 -4.32733 707.57 43.4543 
7.50135 0 108000 2.22507e-308 -712.147 82 256000 0.000320313 -4.29554 707.852 43.4543 
8.00144 0 108000 2.22507e-308 -712.397 46 256000 0.000179687 -4.62357 707.774 43.4543 
8.50153 0 108000 2.22507e-308 -712.647 30 256000 0.000117187 -4.80097 707.846 43.4543 
9.00162 0 108000 2.22507e-308 -712.897 21 256000 8.20313e-05 -4.9076 707.99 43.4543 
9.50171 0 108000 2.22507e-308 -713.147 18 256000 7.03125e-05 -4.81171 708.336 43.4543 
10.0018 0 108000 2.22507e-308 -713.397 7 256000 2.73438e-05 -5.50612 707.891 43.4543 
10.5019 0 108000 2.22507e-308 -713.647 7 256000 2.73438e-05 -5.25608 708.391 43.4543 
11.002 0 108000 2.22507e-308 -713.897 3 256000 1.17188e-05 -5.85333 708.044 43.4543 
11.5021 0 108000 2.22507e-308 -714.147 2 256000 7.8125e-06 -6.00875 708.139 43.4543 
12.0022 0 108000 2.22507e-308 -714.397 4 256000 1.5625e-05 -5.06556 709.332 43.4543 
12.5023 0 108000 2.22507e-308 -714.648 2 256000 7.8125e-06 -5.50866 709.139 43.4543 
13.0023 0 108000 2.22507e-308 -714.898 0 256000 2.22507e-308 -701.895 13.0023 43.4543 
13.5024 0 108000 2.22507e-308 -715.148 1 256000 3.90625e-06 -5.70172 709.446 43.4543 
14.0025 0 108000 2.22507e-308 -715.398 0 256000 2.22507e-308 -701.395 14.0025 43.4543 
14.5026 0 108000 2.22507e-308 -715.648 0 256000 2.22507e-308 -701.145 14.5026 43.4543 
15.0027 0 108000 2.22507e-308 -715.898 0 256000 2.22507e-308 -700.895 15.0027 43.4543 
15.5028 0 108000 2.22507e-308 -716.148 0 256000 2.22507e-308 -700.645 15.5028 43.4543 
16.0029 0 108000 2.22507e-308 -716.398 0 256000 2.22507e-308 -700.395 16.0029 43.4543 
16.503 0 108000 2.22507e-308 -716.648 0 256000 2.22507e-308 -700.145 16.503 43.4543 
17.0031 0 108000 2.22507e-308 -716.898 0 256000 2.22507e-308 -699.895 17.0031 43.4543 
17.5032 0 108000 2.22507e-308 -717.148 0 256000 2.22507e-308 -699.645 17.5032 43.4543 
18.0032 0 108000 2.22507e-308 -717.398 0 256000 2.22507e-308 -699.395 18.0032 43.4543 
18.5033 0 108000 2.22507e-308 -717.648 0 256000 2.22507e-308 -699.145 18.5033 43.4543 
19.0034 0 108000 2.22507e-308 -717.898 0 256000 2.22507e-308 -698.895 19.0034 43.4543 
19.5035 0 108000 2.22507e-308 -718.148 0 256000 2.22507e-308 -698.645 19.5035 43.4543 
20.0036 0 108000 2.22507e-308 -718.398 0 256000 2.22507e-308 -698.395 20.0036 43.4543 
20.5037 0 108000 2.22507e-308 -718.648 0 256000 2.22507e-308 -698.145 20.5037 43.4543 
21.0038 0 108000 2.22507e-308 -718.898 0 256000 2.22507e-308 -697.895 21.0038 43.4543 
