U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-22.004 0 1058400 2.22507e-308 -697.394 0 2508800 2.22507e-308 -719.398 -22.004 7.95062 
-21.5039 0 1058400 2.22507e-308 -697.644 0 2508800 2.22507e-308 -719.148 -21.5039 7.95062 
-21.0038 0 1058400 2.22507e-308 -697.895 0 2508800 2.22507e-308 -718.898 -21.0038 7.95062 
-20.5037 0 1058400 2.22507e-308 -698.145 0 2508800 2.22507e-308 -718.648 -20.5037 7.95062 
-20.0036 0 1058400 2.22507e-308 -698.395 0 2508800 2.22507e-308 -718.398 -20.0036 7.95062 
-19.5035 0 1058400 2.22507e-308 -698.645 0 2508800 2.22507e-308 -718.148 -19.5035 7.95062 
-19.0034 0 1058400 2.22507e-308 -698.895 0 2508800 2.22507e-308 -717.898 -19.0034 7.95062 
-18.5033 0 1058400 2.22507e-308 -699.145 0 2508800 2.22507e-308 -717.648 -18.5033 7.95062 
-18.0032 0 1058400 2.22507e-308 -699.395 0 2508800 2.22507e-308 -717.398 -18.0032 7.95062 
-17.5032 0 1058400 2.22507e-308 -699.645 0 2508800 2.22507e-308 -717.148 -17.5032 7.95062 
-17.0031 0 1058400 2.22507e-308 -699.895 0 2508800 2.22507e-308 -716.898 -17.0031 7.95062 
-16.503 0 1058400 2.22507e-308 -700.145 0 2508800 2.22507e-308 -716.648 -16.503 7.95062 
-16.0029 0 1058400 2.22507e-308 -700.395 0 2508800 2.22507e-308 -716.398 -16.0029 7.95062 
-15.5028 0 1058400 2.22507e-308 -700.645 0 2508800 2.22507e-308 -716.148 -15.5028 7.95062 
-15.0027 0 1058400 2.22507e-308 -700.895 0 2508800 2.22507e-308 -715.898 -15.0027 7.95062 
-14.5026 0 1058400 2.22507e-308 -701.145 0 2508800 2.22507e-308 -715.648 -14.5026 7.95062 
-14.0025 0 1058400 2.22507e-308 -701.395 0 2508800 2.22507e-308 -715.398 -14.0025 7.95062 
-13.5024 0 1058400 2.22507e-308 -701.645 0 2508800 2.22507e-308 -715.148 -13.5024 7.95062 
-13.0023 0 1058400 2.22507e-308 -701.895 0 2508800 2.22507e-308 -714.898 -13.0023 7.95062 
-12.5023 0 1058400 2.22507e-308 -702.145 0 2508800 2.22507e-308 -714.648 -12.5023 7.95062 
-12.0022 0 1058400 2.22507e-308 -702.395 0 2508800 2.22507e-308 -714.397 -12.0022 7.95062 
-11.5021 0 1058400 2.22507e-308 -702.645 0 2508800 2.22507e-308 -714.147 -11.5021 7.95062 
-11.002 0 1058400 2.22507e-308 -702.895 0 2508800 2.22507e-308 -713.897 -11.002 7.95062 
-10.5019 0 1058400 2.22507e-308 -703.145 0 2508800 2.22507e-308 -713.647 -10.5019 7.95062 
-10.0018 0 1058400 2.22507e-308 -703.396 0 2508800 2.22507e-308 -713.397 -10.0018 7.95062 
-9.50171 0 1058400 2.22507e-308 -703.646 0 2508800 2.22507e-308 -713.147 -9.50171 7.95062 
-9.00162 0 1058400 2.22507e-308 -703.896 0 2508800 2.22507e-308 -712.897 -9.00162 7.95062 
-8.50153 0 1058400 2.22507e-308 -704.146 3 2508800 1.19579e-06 -17.8875 686.258 7.95062 
-8.00144 0 1058400 2.22507e-308 -704.396 766 2508800 0.000305325 -12.0949 692.301 7.95062 
-7.50135 0 1058400 2.22507e-308 -704.646 18207 2508800 0.00725725 -8.67643 695.969 7.95062 
-7.00126 0 1058400 2.22507e-308 -704.896 98077 2508800 0.0390932 -6.74244 698.153 7.95062 
-6.50117 0 1058400 2.22507e-308 -705.146 217701 2508800 0.086775 -5.69502 699.451 7.95062 
-6.00108 0 1058400 2.22507e-308 -705.396 301437 2508800 0.120152 -5.11954 700.276 7.95062 
-5.50099 0 1058400 2.22507e-308 -705.646 332045 2508800 0.132352 -4.77278 700.873 7.95062 
-5.0009 0 1058400 2.22507e-308 -705.896 319820 2508800 0.127479 -4.56025 701.336 7.95062 
-4.50081 1 1058400 9.44822e-07 -11.6219 281482 2508800 0.112198 -4.4379 7.18397 7.95062 
-4.00072 2 1058400 1.88964e-06 -11.1788 234769 2508800 0.0935782 -4.36932 6.80944 7.95062 
-3.50063 2 1058400 1.88964e-06 -11.4288 187244 2508800 0.0746349 -4.34546 7.08334 7.95062 
-3.00054 2 1058400 1.88964e-06 -11.6789 143424 2508800 0.0571684 -4.36202 7.31683 7.95062 
-2.50045 0 1058400 2.22507e-308 -707.146 107848 2508800 0.0429879 -4.39706 702.749 7.95062 
-2.00036 2 1058400 1.88964e-06 -12.1789 78794 2508800 0.031407 -4.4609 7.71804 7.95062 
-1.50027 3 1058400 2.83447e-06 -12.0235 56641 2508800 0.0225769 -4.54096 7.48256 7.95062 
-1.00018 2 1058400 1.88964e-06 -12.679 40902 2508800 0.0163034 -4.61647 8.06256 7.95062 
-0.50009 0 1058400 2.22507e-308 -708.146 28432 2508800 0.0113329 -4.73009 703.416 7.95062 
0 3 1058400 2.83447e-06 -12.7737 19801 2508800 0.00789262 -4.84183 7.93183 7.95062 
0.50009 4 1058400 3.77929e-06 -12.736 13691 2508800 0.00545719 -4.96078 7.77524 7.95062 
1.00018 6 1058400 5.66893e-06 -12.5806 9324 2508800 0.00371652 -5.09488 7.48572 7.95062 
1.50027 3 1058400 2.83447e-06 -13.5238 6168 2508800 0.00245855 -5.25805 8.26574 7.95062 
2.00036 5 1058400 4.72411e-06 -13.263 4129 2508800 0.00164581 -5.40934 7.85367 7.95062 
2.50045 2 1058400 1.88964e-06 -14.4293 2782 2508800 0.0011089 -5.55416 8.87518 7.95062 
3.00054 8 1058400 7.55858e-06 -13.2931 1788 2508800 0.000712691 -5.74619 7.54691 7.95062 
3.50063 5 1058400 4.72411e-06 -14.0131 1231 2508800 0.000490673 -5.86942 8.14373 7.95062 
4.00072 3 1058400 2.83447e-06 -14.774 792 2508800 0.000315689 -6.06039 8.71362 7.95062 
4.50081 4 1058400 3.77929e-06 -14.7364 512 2508800 0.000204082 -6.24659 8.48979 7.95062 
5.0009 9 1058400 8.5034e-06 -14.1755 352 2508800 0.000140306 -6.37123 7.80426 7.95062 
5.50099 4 1058400 3.77929e-06 -15.2365 236 2508800 9.40689e-05 -6.52099 8.71548 7.95062 
6.00108 16 1058400 1.51172e-05 -14.1002 154 2508800 6.13839e-05 -6.69782 7.4024 7.95062 
6.50117 8 1058400 7.55858e-06 -15.0434 89 2508800 3.54751e-05 -6.99609 8.04732 7.95062 
7.00126 7 1058400 6.61376e-06 -15.427 59 2508800 2.35172e-05 -7.15715 8.26984 7.95062 
7.50135 8 1058400 7.55858e-06 -15.5435 32 2508800 1.27551e-05 -7.5189 8.0246 7.95062 
8.00144 6 1058400 5.66893e-06 -16.0812 32 2508800 1.27551e-05 -7.26886 8.81237 7.95062 
8.50153 7 1058400 6.61376e-06 -16.1771 13 2508800 5.18176e-06 -7.9196 8.25752 7.95062 
9.00162 13 1058400 1.22827e-05 -15.8081 9 2508800 3.58737e-06 -8.03728 7.77085 7.95062 
9.50171 10 1058400 9.44822e-06 -16.3205 5 2508800 1.99298e-06 -8.37502 7.94552 7.95062 
10.0018 11 1058400 1.0393e-05 -16.4753 2 2508800 7.97194e-07 -9.04127 7.43401 7.95062 
