U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 665500 2.22507e-308 -683.392 0 256000 2.22507e-308 -733.401 -50.009 -0.291506 
-49.5089 0 665500 2.22507e-308 -683.642 0 256000 2.22507e-308 -733.151 -49.5089 -0.291506 
-49.0088 0 665500 2.22507e-308 -683.892 0 256000 2.22507e-308 -732.901 -49.0088 -0.291506 
-48.5087 0 665500 2.22507e-308 -684.142 0 256000 2.22507e-308 -732.651 -48.5087 -0.291506 
-48.0086 0 665500 2.22507e-308 -684.392 0 256000 2.22507e-308 -732.401 -48.0086 -0.291506 
-47.5086 0 665500 2.22507e-308 -684.642 0 256000 2.22507e-308 -732.151 -47.5086 -0.291506 
-47.0085 0 665500 2.22507e-308 -684.892 0 256000 2.22507e-308 -731.901 -47.0085 -0.291506 
-46.5084 0 665500 2.22507e-308 -685.142 0 256000 2.22507e-308 -731.651 -46.5084 -0.291506 
-46.0083 0 665500 2.22507e-308 -685.392 0 256000 2.22507e-308 -731.401 -46.0083 -0.291506 
-45.5082 0 665500 2.22507e-308 -685.642 0 256000 2.22507e-308 -731.151 -45.5082 -0.291506 
-45.0081 0 665500 2.22507e-308 -685.892 0 256000 2.22507e-308 -730.9 -45.0081 -0.291506 
-44.508 0 665500 2.22507e-308 -686.142 0 256000 2.22507e-308 -730.65 -44.508 -0.291506 
-44.0079 0 665500 2.22507e-308 -686.392 0 256000 2.22507e-308 -730.4 -44.0079 -0.291506 
-43.5078 0 665500 2.22507e-308 -686.643 0 256000 2.22507e-308 -730.15 -43.5078 -0.291506 
-43.0077 0 665500 2.22507e-308 -686.893 0 256000 2.22507e-308 -729.9 -43.0077 -0.291506 
-42.5077 0 665500 2.22507e-308 -687.143 0 256000 2.22507e-308 -729.65 -42.5077 -0.291506 
-42.0076 0 665500 2.22507e-308 -687.393 0 256000 2.22507e-308 -729.4 -42.0076 -0.291506 
-41.5075 0 665500 2.22507e-308 -687.643 0 256000 2.22507e-308 -729.15 -41.5075 -0.291506 
