U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 171500 2.22507e-308 -683.392 0 256000 2.22507e-308 -733.401 -50.009 0.474033 
-49.5089 0 171500 2.22507e-308 -683.642 0 256000 2.22507e-308 -733.151 -49.5089 0.474033 
-49.0088 0 171500 2.22507e-308 -683.892 0 256000 2.22507e-308 -732.901 -49.0088 0.474033 
-48.5087 0 171500 2.22507e-308 -684.142 0 256000 2.22507e-308 -732.651 -48.5087 0.474033 
-48.0086 0 171500 2.22507e-308 -684.392 0 256000 2.22507e-308 -732.401 -48.0086 0.474033 
-47.5086 0 171500 2.22507e-308 -684.642 0 256000 2.22507e-308 -732.151 -47.5086 0.474033 
-47.0085 0 171500 2.22507e-308 -684.892 0 256000 2.22507e-308 -731.901 -47.0085 0.474033 
-46.5084 0 171500 2.22507e-308 -685.142 0 256000 2.22507e-308 -731.651 -46.5084 0.474033 
-46.0083 0 171500 2.22507e-308 -685.392 0 256000 2.22507e-308 -731.401 -46.0083 0.474033 
-45.5082 0 171500 2.22507e-308 -685.642 0 256000 2.22507e-308 -731.151 -45.5082 0.474033 
-45.0081 0 171500 2.22507e-308 -685.892 0 256000 2.22507e-308 -730.9 -45.0081 0.474033 
-44.508 0 171500 2.22507e-308 -686.142 0 256000 2.22507e-308 -730.65 -44.508 0.474033 
-44.0079 0 171500 2.22507e-308 -686.392 0 256000 2.22507e-308 -730.4 -44.0079 0.474033 
-43.5078 0 171500 2.22507e-308 -686.643 0 256000 2.22507e-308 -730.15 -43.5078 0.474033 
-43.0077 0 171500 2.22507e-308 -686.893 0 256000 2.22507e-308 -729.9 -43.0077 0.474033 
-42.5077 0 171500 2.22507e-308 -687.143 0 256000 2.22507e-308 -729.65 -42.5077 0.474033 
-42.0076 0 171500 2.22507e-308 -687.393 0 256000 2.22507e-308 -729.4 -42.0076 0.474033 
-41.5075 0 171500 2.22507e-308 -687.643 0 256000 2.22507e-308 -729.15 -41.5075 0.474033 
-41.0074 0 171500 2.22507e-308 -687.893 0 256000 2.22507e-308 -728.9 -41.0074 0.474033 
-40.5073 0 171500 2.22507e-308 -688.143 0 256000 2.22507e-308 -728.65 -40.5073 0.474033 
-40.0072 0 171500 2.22507e-308 -688.393 0 256000 2.22507e-308 -728.4 -40.0072 0.474033 
